6292314517
11197.672826830938
5301904.220242
0,167
1,219
2,264
3,306
4,350
5,386
7,456
8,487
9,1323
10,1408
11,1485
12,1550
14,1622
15,1804
16,2223
17,2270
18,2353
19,2416
21,2601
22,2671
23,2722
24,2781
25,2890
26,2960
28,3169
29,3235
30,3293
31,3389
32,3547
33,3547
35,3861
36,3947
37,4288
38,4435
39,4645
40,4832
42,5046
43,5458
44,5659
45,5861
46,6050
47,6230
49,6579
50,6723
51,6899
52,7049
53,7179
54,7292
56,7441
57,7542
58,7622
59,7693
60,7733
61,7755
63,7858
64,7913
65,7950
66,8046
67,8111
68,8135
70,8196
71,8215
72,8240
73,8295
74,8311
75,8354
77,8379
78,8393
79,8397
80,8398
81,8399
84,8416
85,8425
86,8430
87,8440
88,8449
91,8455
92,8459
93,8460
94,8457
95,8456
98,8454
99,8453
100,8455
101,8451
102,8445
105,8447
106,8440
107,8437
108,8434
109,8434
112,8434
113,8431
114,8431
115,8432
116,8432
